samples,metric,mean,std,repeats
5,MAE,0.09922523722052574,3.9710993412894186e-05,10
5,RMSE,0.14843135625123977,0.00011335693086312111,10
5,CRPS,0.07503697152229365,2.6025333039190795e-05,10
5,PICP,0.8183080370146152,9.417397644132154e-05,10
5,PINAW,0.035866130888462064,1.4608966738197224e-05,10
10,MAE,0.09373329356312751,2.9455886707022574e-05,10
10,RMSE,0.13936242312192917,8.432270938787151e-05,10
10,CRPS,0.06790475133604679,2.1706910425313167e-05,10
10,PICP,0.9287763108911212,7.68510924919468e-05,10
10,PINAW,0.046725474298000336,8.57223052901391e-06,10
20,MAE,0.09074365496635436,3.218538076041182e-05,10
20,RMSE,0.13449724465608598,6.187168448782615e-05,10
20,CRPS,0.06435152307458099,2.028343746941961e-05,10
20,PICP,0.962448364828345,5.8703909923044935e-05,10
20,PINAW,0.05471641384065151,5.545500346979269e-06,10
50,MAE,0.0888132207095623,9.334647556051725e-06,10
50,RMSE,0.13140763193368912,1.8185325200995262e-05,10
50,CRPS,0.062212772358410696,6.20896225663244e-06,10
50,PICP,0.976639086309118,3.0539278027146715e-05,10
50,PINAW,0.06013551950454712,6.1822282668621784e-06,10
100,MAE,0.0881408229470253,0.0,10
100,RMSE,0.13033835589885712,0.0,10
100,CRPS,0.061498308530383294,2.4569250227014547e-10,10
100,PICP,0.981938550878613,0.0,10
100,PINAW,0.06276992708444595,0.0,10
